"","time","avgTemp"
"8310",2001.74794520548,28.8
"8311",2001.75068493151,27.4
"8312",2001.75342465753,24.95
"8313",2001.75616438356,24.55
"8314",2001.75890410959,28.4
"8315",2001.76164383562,27
"8316",2001.76438356164,29.1
"8317",2001.76712328767,28.55
"8318",2001.7698630137,31
"8319",2001.77260273973,28.8
"8320",2001.77534246575,30.65
"8321",2001.77808219178,32.05
"8322",2001.78082191781,27.35
"8323",2001.78356164384,27.5
"8324",2001.78630136986,26
"8325",2001.78904109589,27.3
"8326",2001.79178082192,26.05
"8327",2001.79452054795,25.95
"8328",2001.79726027397,26.05
"8329",2001.8,28.5
"8330",2001.80273972603,29.4
"8331",2001.80547945205,25.2
"8332",2001.80821917808,27.75
"8333",2001.81095890411,26.45
"8334",2001.81369863014,27.45
"8335",2001.81643835616,24.6
"8336",2001.81917808219,24.4
"8337",2001.82191780822,27.15
"8338",2001.82465753425,26.7
"8339",2001.82739726027,29.5
"8340",2001.8301369863,24.35
"8341",2001.83287671233,25.25
"8342",2001.83561643836,25.4
"8343",2001.83835616438,26.25
"8344",2001.84109589041,29.05
"8345",2001.84383561644,26.4
"8346",2001.84657534247,27.1
"8347",2001.84931506849,26
"8348",2001.85205479452,28.5
"8349",2001.85479452055,29.1
"8350",2001.85753424658,27.6
"8351",2001.8602739726,28.1
"8352",2001.86301369863,25.6
"8353",2001.86575342466,27.85
"8354",2001.86849315069,28.55
"8355",2001.87123287671,29.3
"8356",2001.87397260274,26.55
"8357",2001.87671232877,26.65
"8358",2001.87945205479,27.7
"8359",2001.88219178082,24.75
"8360",2001.88493150685,27.5
"8361",2001.88767123288,24.15
"8362",2001.8904109589,24.2
"8363",2001.89315068493,24.85
"8364",2001.89589041096,28.05
"8365",2001.89863013699,30.15
"8366",2001.90136986301,26.5
"8367",2001.90410958904,27.35
"8368",2001.90684931507,23.3
"8369",2001.9095890411,26.4
"8370",2001.91232876712,28.85
"8371",2001.91506849315,29.45
"8372",2001.91780821918,25.55
"8373",2001.92054794521,28.6
"8374",2001.92328767123,26.6
"8375",2001.92602739726,25.35
"8376",2001.92876712329,27.45
"8377",2001.93150684932,27.15
"8378",2001.93424657534,26.05
"8379",2001.93698630137,26.35
"8380",2001.9397260274,26.15
"8381",2001.94246575342,25.1
"8382",2001.94520547945,27.3
"8383",2001.94794520548,28.6
"8384",2001.95068493151,29.45
"8385",2001.95342465753,25.8
"8386",2001.95616438356,24.7
"8387",2001.95890410959,24.75
"8388",2001.96164383562,26.25
"8389",2001.96438356164,26.55
"8390",2001.96712328767,25.55
"8391",2001.9698630137,25.75
"8392",2001.97260273973,28.65
"8393",2001.97534246575,26.15
"8394",2001.97808219178,24.5
"8395",2001.98082191781,25.95
"8396",2001.98356164384,24.35
"8397",2001.98630136986,23.55
"8398",2001.98904109589,25.7
"8399",2001.99178082192,27.55
"8400",2001.99452054795,26.85
"8401",2001.99726027397,26.9
