"","time","control"
"1",2001.74794520548,0
"2",2001.75068493151,0
"3",2001.75342465753,0
"4",2001.75616438356,0
"5",2001.75890410959,0
"6",2001.76164383562,0
"7",2001.76438356164,0
"8",2001.76712328767,0
"9",2001.7698630137,0
"10",2001.77260273973,0
"11",2001.77534246575,0
"12",2001.77808219178,0
"13",2001.78082191781,0
"14",2001.78356164384,0
"15",2001.78630136986,0
"16",2001.78904109589,0
"17",2001.79178082192,0
"18",2001.79452054795,0
"19",2001.79726027397,0
"20",2001.8,0
"21",2001.80273972603,0
"22",2001.80547945205,0
"23",2001.80821917808,0
"24",2001.81095890411,0
"25",2001.81369863014,0
"26",2001.81643835616,0
"27",2001.81917808219,0
"28",2001.82191780822,0
"29",2001.82465753425,0
"30",2001.82739726027,0
"31",2001.8301369863,0
"32",2001.83287671233,0
"33",2001.83561643836,0
"34",2001.83835616438,0
"35",2001.84109589041,0
"36",2001.84383561644,0
"37",2001.84657534247,0
"38",2001.84931506849,0
"39",2001.85205479452,0
"40",2001.85479452055,0
"41",2001.85753424658,0
"42",2001.8602739726,0
"43",2001.86301369863,0
"44",2001.86575342466,0
"45",2001.86849315069,0
"46",2001.87123287671,0
"47",2001.87397260274,0
"48",2001.87671232877,0
"49",2001.87945205479,0
"50",2001.88219178082,0
"51",2001.88493150685,0
"52",2001.88767123288,0
"53",2001.8904109589,0
"54",2001.89315068493,0
"55",2001.89589041096,0
"56",2001.89863013699,0
"57",2001.90136986301,0
"58",2001.90410958904,0
"59",2001.90684931507,0
"60",2001.9095890411,0
"61",2001.91232876712,0
"62",2001.91506849315,0
"63",2001.91780821918,0
"64",2001.92054794521,0
"65",2001.92328767123,0
"66",2001.92602739726,0
"67",2001.92876712329,0
"68",2001.93150684932,0
"69",2001.93424657534,0
"70",2001.93698630137,0
"71",2001.9397260274,0
"72",2001.94246575342,0
"73",2001.94520547945,0
"74",2001.94794520548,0
"75",2001.95068493151,0
"76",2001.95342465753,0
"77",2001.95616438356,0
"78",2001.95890410959,0
"79",2001.96164383562,0
"80",2001.96438356164,0
"81",2001.96712328767,0
"82",2001.9698630137,0
"83",2001.97260273973,0
"84",2001.97534246575,0
"85",2001.97808219178,0
"86",2001.98082191781,0
"87",2001.98356164384,0
"88",2001.98630136986,0
"89",2001.98904109589,0
"90",2001.99178082192,0
"91",2001.99452054795,0
"92",2001.99726027397,0
"93",2002,0
"94",2002.00273972603,0
"95",2002.00547945205,0
"96",2002.00821917808,0
"97",2002.01095890411,0
"98",2002.01369863014,0
"99",2002.01643835616,0
"100",2002.01917808219,0
"101",2002.02191780822,0
"102",2002.02465753425,0
"103",2002.02739726027,0
"104",2002.0301369863,0
"105",2002.03287671233,0
"106",2002.03561643836,0
"107",2002.03835616438,0
"108",2002.04109589041,0
"109",2002.04383561644,0
"110",2002.04657534247,0
"111",2002.04931506849,0
"112",2002.05205479452,0
"113",2002.05479452055,0
"114",2002.05753424658,0
"115",2002.0602739726,0
"116",2002.06301369863,0
"117",2002.06575342466,0
"118",2002.06849315068,0
"119",2002.07123287671,0
"120",2002.07397260274,0
"121",2002.07671232877,0
"122",2002.07945205479,0
"123",2002.08219178082,0
"124",2002.08493150685,0
"125",2002.08767123288,0
"126",2002.0904109589,0
"127",2002.09315068493,0
"128",2002.09589041096,0
"129",2002.09863013699,0
"130",2002.10136986301,0
"131",2002.10410958904,0
"132",2002.10684931507,0
"133",2002.1095890411,0
"134",2002.11232876712,0
"135",2002.11506849315,0
"136",2002.11780821918,0
"137",2002.12054794521,0
"138",2002.12328767123,0
"139",2002.12602739726,0
"140",2002.12876712329,0
"141",2002.13150684931,0
"142",2002.13424657534,0
"143",2002.13698630137,0
"144",2002.1397260274,0
"145",2002.14246575342,0
"146",2002.14520547945,0
"147",2002.14794520548,0
"148",2002.15068493151,0
"149",2002.15342465753,0
"150",2002.15616438356,0
"151",2002.15890410959,0
"152",2002.16164383562,0
"153",2002.16438356164,0
"154",2002.16712328767,0
"155",2002.1698630137,0
"156",2002.17260273973,0
"157",2002.17534246575,0
"158",2002.17808219178,0
"159",2002.18082191781,0
"160",2002.18356164384,0
"161",2002.18630136986,0
"162",2002.18904109589,0
"163",2002.19178082192,0
"164",2002.19452054795,0
"165",2002.19726027397,0
"166",2002.2,0
"167",2002.20273972603,0
"168",2002.20547945205,0
"169",2002.20821917808,0
"170",2002.21095890411,0
"171",2002.21369863014,0
"172",2002.21643835616,0
"173",2002.21917808219,0
"174",2002.22191780822,0
"175",2002.22465753425,0
"176",2002.22739726027,0
"177",2002.2301369863,0
"178",2002.23287671233,0
"179",2002.23561643836,0
"180",2002.23835616438,0
"181",2002.24109589041,0
"182",2002.24383561644,0
"183",2002.24657534247,0
"184",2002.24931506849,0
"185",2002.25205479452,0
"186",2002.25479452055,0
"187",2002.25753424658,0
"188",2002.2602739726,0
"189",2002.26301369863,0
"190",2002.26575342466,0
"191",2002.26849315068,0
"192",2002.27123287671,0
"193",2002.27397260274,0
"194",2002.27671232877,0
"195",2002.27945205479,0
"196",2002.28219178082,0
"197",2002.28493150685,0
"198",2002.28767123288,0
"199",2002.2904109589,0
"200",2002.29315068493,0
"201",2002.29589041096,0
"202",2002.29863013699,0
"203",2002.30136986301,0
"204",2002.30410958904,0
"205",2002.30684931507,0
"206",2002.3095890411,0
"207",2002.31232876712,0
"208",2002.31506849315,0
"209",2002.31780821918,0
"210",2002.32054794521,0
"211",2002.32328767123,0
"212",2002.32602739726,0
"213",2002.32876712329,0
"214",2002.33150684932,0
"215",2002.33424657534,0
"216",2002.33698630137,0
"217",2002.3397260274,0
"218",2002.34246575342,0
"219",2002.34520547945,0
"220",2002.34794520548,0
"221",2002.35068493151,0
"222",2002.35342465753,0
"223",2002.35616438356,0
"224",2002.35890410959,0
"225",2002.36164383562,0
"226",2002.36438356164,0
"227",2002.36712328767,0
"228",2002.3698630137,0
"229",2002.37260273973,0
"230",2002.37534246575,0
"231",2002.37808219178,0
"232",2002.38082191781,0
"233",2002.38356164384,0
"234",2002.38630136986,0
"235",2002.38904109589,0
"236",2002.39178082192,0
"237",2002.39452054795,0
"238",2002.39726027397,0
"239",2002.4,0
"240",2002.40273972603,0
"241",2002.40547945205,0
"242",2002.40821917808,0
"243",2002.41095890411,0
"244",2002.41369863014,0
"245",2002.41643835616,0
"246",2002.41917808219,0
"247",2002.42191780822,0
"248",2002.42465753425,0
"249",2002.42739726027,0
"250",2002.4301369863,0
"251",2002.43287671233,0
"252",2002.43561643836,0
"253",2002.43835616438,0
"254",2002.44109589041,0
"255",2002.44383561644,0
"256",2002.44657534247,0
"257",2002.44931506849,0
"258",2002.45205479452,0
"259",2002.45479452055,0
"260",2002.45753424658,0
"261",2002.4602739726,0
"262",2002.46301369863,0
"263",2002.46575342466,0
"264",2002.46849315068,0
"265",2002.47123287671,0
"266",2002.47397260274,0
"267",2002.47671232877,0
"268",2002.47945205479,0
"269",2002.48219178082,0
"270",2002.48493150685,0
"271",2002.48767123288,0
"272",2002.4904109589,0
"273",2002.49315068493,0
"274",2002.49589041096,0
"275",2002.49863013699,0
"276",2002.50136986301,0
"277",2002.50410958904,0
"278",2002.50684931507,0
"279",2002.5095890411,0
"280",2002.51232876712,0
"281",2002.51506849315,0
"282",2002.51780821918,0
"283",2002.52054794521,0
"284",2002.52328767123,0
"285",2002.52602739726,0
"286",2002.52876712329,0
"287",2002.53150684932,0
"288",2002.53424657534,0
"289",2002.53698630137,0
"290",2002.5397260274,0
"291",2002.54246575342,0
"292",2002.54520547945,0
"293",2002.54794520548,0
"294",2002.55068493151,0
"295",2002.55342465753,0
"296",2002.55616438356,0
"297",2002.55890410959,0
"298",2002.56164383562,0
"299",2002.56438356164,0
"300",2002.56712328767,0
"301",2002.5698630137,0
"302",2002.57260273973,0
"303",2002.57534246575,0
"304",2002.57808219178,0
"305",2002.58082191781,0
"306",2002.58356164384,0
"307",2002.58630136986,0
"308",2002.58904109589,0
"309",2002.59178082192,0
"310",2002.59452054795,0
"311",2002.59726027397,0
"312",2002.6,0
"313",2002.60273972603,0
"314",2002.60547945205,0
"315",2002.60821917808,0
"316",2002.61095890411,0
"317",2002.61369863014,0
"318",2002.61643835616,0
"319",2002.61917808219,0
"320",2002.62191780822,0
"321",2002.62465753425,0
"322",2002.62739726027,0
"323",2002.6301369863,0
"324",2002.63287671233,0
"325",2002.63561643836,0
"326",2002.63835616438,0
"327",2002.64109589041,0
"328",2002.64383561644,0
"329",2002.64657534247,0
"330",2002.64931506849,0
"331",2002.65205479452,0
"332",2002.65479452055,0
"333",2002.65753424658,0
"334",2002.6602739726,0
"335",2002.66301369863,0
"336",2002.66575342466,0
"337",2002.66849315068,0
"338",2002.67123287671,0
"339",2002.67397260274,0
"340",2002.67671232877,0
"341",2002.67945205479,0
"342",2002.68219178082,0
"343",2002.68493150685,0
"344",2002.68767123288,0
"345",2002.6904109589,0
"346",2002.69315068493,0
"347",2002.69589041096,0
"348",2002.69863013699,0
"349",2002.70136986301,0
"350",2002.70410958904,0
"351",2002.70684931507,0
"352",2002.7095890411,0
"353",2002.71232876712,0
"354",2002.71506849315,0
"355",2002.71780821918,0
"356",2002.72054794521,0
"357",2002.72328767123,0
"358",2002.72602739726,0
"359",2002.72876712329,0
"360",2002.73150684932,0
"361",2002.73424657534,0
"362",2002.73698630137,0
"363",2002.7397260274,0
"364",2002.74246575342,0
"365",2002.74520547945,0
"366",2002.74794520548,0
"367",2002.75068493151,0
"368",2002.75342465753,0
"369",2002.75616438356,0
"370",2002.75890410959,0
"371",2002.76164383562,0
"372",2002.76438356164,0
"373",2002.76712328767,0
"374",2002.7698630137,0
"375",2002.77260273973,0
"376",2002.77534246575,0
"377",2002.77808219178,0
"378",2002.78082191781,0
"379",2002.78356164384,0
"380",2002.78630136986,0
"381",2002.78904109589,0
"382",2002.79178082192,0
"383",2002.79452054795,0
"384",2002.79726027397,0
"385",2002.8,0
"386",2002.80273972603,0
"387",2002.80547945205,0
"388",2002.80821917808,1
"389",2002.81095890411,1
"390",2002.81369863014,1
"391",2002.81643835616,1
"392",2002.81917808219,1
"393",2002.82191780822,1
"394",2002.82465753425,1
"395",2002.82739726027,1
"396",2002.8301369863,1
"397",2002.83287671233,1
"398",2002.83561643836,1
"399",2002.83835616438,1
"400",2002.84109589041,1
"401",2002.84383561644,1
"402",2002.84657534247,1
"403",2002.84931506849,1
"404",2002.85205479452,1
"405",2002.85479452055,1
"406",2002.85753424658,1
"407",2002.8602739726,1
"408",2002.86301369863,1
"409",2002.86575342466,1
"410",2002.86849315069,1
"411",2002.87123287671,1
"412",2002.87397260274,1
"413",2002.87671232877,1
"414",2002.87945205479,1
"415",2002.88219178082,1
"416",2002.88493150685,1
"417",2002.88767123288,1
"418",2002.8904109589,1
"419",2002.89315068493,1
"420",2002.89589041096,1
"421",2002.89863013699,1
"422",2002.90136986301,1
"423",2002.90410958904,1
"424",2002.90684931507,1
"425",2002.9095890411,1
"426",2002.91232876712,1
"427",2002.91506849315,1
"428",2002.91780821918,1
"429",2002.92054794521,1
"430",2002.92328767123,1
"431",2002.92602739726,1
"432",2002.92876712329,1
"433",2002.93150684932,1
"434",2002.93424657534,1
"435",2002.93698630137,1
"436",2002.9397260274,1
"437",2002.94246575342,1
"438",2002.94520547945,1
"439",2002.94794520548,1
"440",2002.95068493151,1
"441",2002.95342465753,1
"442",2002.95616438356,1
"443",2002.95890410959,1
"444",2002.96164383562,1
"445",2002.96438356164,1
"446",2002.96712328767,1
"447",2002.9698630137,1
"448",2002.97260273973,1
"449",2002.97534246575,1
"450",2002.97808219178,1
"451",2002.98082191781,1
"452",2002.98356164384,1
"453",2002.98630136986,1
"454",2002.98904109589,1
"455",2002.99178082192,1
"456",2002.99452054795,1
"457",2002.99726027397,1
"458",2003,1
"459",2003.00273972603,1
"460",2003.00547945205,1
"461",2003.00821917808,1
"462",2003.01095890411,1
"463",2003.01369863014,1
"464",2003.01643835616,1
"465",2003.01917808219,1
"466",2003.02191780822,1
"467",2003.02465753425,1
"468",2003.02739726027,1
"469",2003.0301369863,1
"470",2003.03287671233,1
"471",2003.03561643836,1
"472",2003.03835616438,1
"473",2003.04109589041,1
"474",2003.04383561644,1
"475",2003.04657534247,1
"476",2003.04931506849,1
"477",2003.05205479452,1
"478",2003.05479452055,1
"479",2003.05753424658,1
"480",2003.0602739726,1
"481",2003.06301369863,1
"482",2003.06575342466,1
"483",2003.06849315068,1
"484",2003.07123287671,1
"485",2003.07397260274,1
"486",2003.07671232877,1
"487",2003.07945205479,1
"488",2003.08219178082,1
"489",2003.08493150685,1
"490",2003.08767123288,1
"491",2003.0904109589,1
"492",2003.09315068493,1
"493",2003.09589041096,1
"494",2003.09863013699,1
"495",2003.10136986301,1
"496",2003.10410958904,1
"497",2003.10684931507,1
"498",2003.1095890411,1
"499",2003.11232876712,0
"500",2003.11506849315,0
"501",2003.11780821918,0
"502",2003.12054794521,0
"503",2003.12328767123,0
"504",2003.12602739726,0
"505",2003.12876712329,0
"506",2003.13150684931,0
"507",2003.13424657534,0
"508",2003.13698630137,0
"509",2003.1397260274,0
"510",2003.14246575342,0
"511",2003.14520547945,0
"512",2003.14794520548,0
"513",2003.15068493151,0
"514",2003.15342465753,0
"515",2003.15616438356,0
"516",2003.15890410959,0
"517",2003.16164383562,0
"518",2003.16438356164,0
"519",2003.16712328767,0
"520",2003.1698630137,0
"521",2003.17260273973,0
"522",2003.17534246575,0
"523",2003.17808219178,0
"524",2003.18082191781,0
"525",2003.18356164384,0
"526",2003.18630136986,0
"527",2003.18904109589,0
"528",2003.19178082192,0
"529",2003.19452054795,0
"530",2003.19726027397,0
"531",2003.2,0
"532",2003.20273972603,0
"533",2003.20547945205,0
"534",2003.20821917808,0
"535",2003.21095890411,0
"536",2003.21369863014,0
"537",2003.21643835616,0
"538",2003.21917808219,0
"539",2003.22191780822,0
"540",2003.22465753425,0
"541",2003.22739726027,0
"542",2003.2301369863,0
"543",2003.23287671233,0
"544",2003.23561643836,0
"545",2003.23835616438,0
"546",2003.24109589041,0
"547",2003.24383561644,0
"548",2003.24657534247,0
"549",2003.24931506849,0
"550",2003.25205479452,0
"551",2003.25479452055,0
"552",2003.25753424658,0
"553",2003.2602739726,0
"554",2003.26301369863,0
"555",2003.26575342466,0
"556",2003.26849315068,0
"557",2003.27123287671,0
"558",2003.27397260274,0
"559",2003.27671232877,0
"560",2003.27945205479,0
"561",2003.28219178082,0
"562",2003.28493150685,0
"563",2003.28767123288,0
"564",2003.2904109589,0
"565",2003.29315068493,0
"566",2003.29589041096,0
"567",2003.29863013699,0
"568",2003.30136986301,0
"569",2003.30410958904,0
"570",2003.30684931507,0
"571",2003.3095890411,0
"572",2003.31232876712,0
"573",2003.31506849315,0
"574",2003.31780821918,0
"575",2003.32054794521,0
"576",2003.32328767123,0
"577",2003.32602739726,0
"578",2003.32876712329,0
"579",2003.33150684932,0
"580",2003.33424657534,0
"581",2003.33698630137,0
"582",2003.3397260274,0
"583",2003.34246575342,0
"584",2003.34520547945,0
"585",2003.34794520548,0
"586",2003.35068493151,0
"587",2003.35342465753,0
"588",2003.35616438356,0
"589",2003.35890410959,0
"590",2003.36164383562,0
"591",2003.36438356164,0
"592",2003.36712328767,0
"593",2003.3698630137,0
"594",2003.37260273973,0
"595",2003.37534246575,0
"596",2003.37808219178,0
"597",2003.38082191781,0
"598",2003.38356164384,0
"599",2003.38630136986,0
"600",2003.38904109589,0
"601",2003.39178082192,0
"602",2003.39452054795,0
"603",2003.39726027397,0
"604",2003.4,0
"605",2003.40273972603,0
"606",2003.40547945205,0
"607",2003.40821917808,0
"608",2003.41095890411,0
"609",2003.41369863014,0
"610",2003.41643835616,0
"611",2003.41917808219,0
"612",2003.42191780822,0
"613",2003.42465753425,0
"614",2003.42739726027,0
"615",2003.4301369863,0
"616",2003.43287671233,0
"617",2003.43561643836,0
"618",2003.43835616438,0
"619",2003.44109589041,0
"620",2003.44383561644,0
"621",2003.44657534247,0
"622",2003.44931506849,0
"623",2003.45205479452,0
"624",2003.45479452055,0
"625",2003.45753424658,0
"626",2003.4602739726,0
"627",2003.46301369863,0
"628",2003.46575342466,0
"629",2003.46849315068,0
"630",2003.47123287671,0
"631",2003.47397260274,0
"632",2003.47671232877,0
"633",2003.47945205479,0
"634",2003.48219178082,0
"635",2003.48493150685,0
"636",2003.48767123288,0
"637",2003.4904109589,0
"638",2003.49315068493,0
"639",2003.49589041096,0
"640",2003.49863013699,0
"641",2003.50136986301,0
"642",2003.50410958904,0
"643",2003.50684931507,0
"644",2003.5095890411,0
"645",2003.51232876712,0
"646",2003.51506849315,0
"647",2003.51780821918,0
"648",2003.52054794521,0
"649",2003.52328767123,0
"650",2003.52602739726,0
"651",2003.52876712329,0
"652",2003.53150684932,0
"653",2003.53424657534,0
"654",2003.53698630137,0
"655",2003.5397260274,0
"656",2003.54246575342,0
"657",2003.54520547945,0
"658",2003.54794520548,0
"659",2003.55068493151,0
"660",2003.55342465753,0
"661",2003.55616438356,0
"662",2003.55890410959,0
"663",2003.56164383562,0
"664",2003.56438356164,0
"665",2003.56712328767,0
"666",2003.5698630137,0
"667",2003.57260273973,0
"668",2003.57534246575,0
"669",2003.57808219178,0
"670",2003.58082191781,0
"671",2003.58356164384,0
"672",2003.58630136986,0
"673",2003.58904109589,0
"674",2003.59178082192,0
"675",2003.59452054795,0
"676",2003.59726027397,0
"677",2003.6,0
"678",2003.60273972603,0
"679",2003.60547945205,0
"680",2003.60821917808,0
"681",2003.61095890411,0
"682",2003.61369863014,0
"683",2003.61643835616,0
"684",2003.61917808219,0
"685",2003.62191780822,0
"686",2003.62465753425,0
"687",2003.62739726027,0
"688",2003.6301369863,0
"689",2003.63287671233,0
"690",2003.63561643836,0
"691",2003.63835616438,0
"692",2003.64109589041,0
"693",2003.64383561644,0
"694",2003.64657534247,0
"695",2003.64931506849,0
"696",2003.65205479452,0
"697",2003.65479452055,0
"698",2003.65753424658,0
"699",2003.6602739726,0
"700",2003.66301369863,0
"701",2003.66575342466,0
"702",2003.66849315068,0
"703",2003.67123287671,0
"704",2003.67397260274,0
"705",2003.67671232877,0
"706",2003.67945205479,0
"707",2003.68219178082,0
"708",2003.68493150685,0
"709",2003.68767123288,0
"710",2003.6904109589,0
"711",2003.69315068493,0
"712",2003.69589041096,0
"713",2003.69863013699,0
"714",2003.70136986301,0
"715",2003.70410958904,0
"716",2003.70684931507,0
"717",2003.7095890411,0
"718",2003.71232876712,0
"719",2003.71506849315,0
"720",2003.71780821918,0
"721",2003.72054794521,0
"722",2003.72328767123,0
"723",2003.72602739726,0
"724",2003.72876712329,0
"725",2003.73150684932,0
"726",2003.73424657534,0
"727",2003.73698630137,0
"728",2003.7397260274,0
"729",2003.74246575342,0
"730",2003.74520547945,0
"731",2003.74794520548,0
"732",2003.75068493151,0
"733",2003.75342465753,0
"734",2003.75616438356,0
"735",2003.75890410959,0
"736",2003.76164383562,0
"737",2003.76438356164,0
"738",2003.76712328767,0
"739",2003.7698630137,0
"740",2003.77260273973,0
"741",2003.77534246575,0
"742",2003.77808219178,0
"743",2003.78082191781,0
"744",2003.78356164384,0
"745",2003.78630136986,0
"746",2003.78904109589,0
"747",2003.79178082192,0
"748",2003.79452054795,0
"749",2003.79726027397,0
"750",2003.8,0
"751",2003.80273972603,0
"752",2003.80547945205,0
"753",2003.80821917808,0
"754",2003.81095890411,0
"755",2003.81369863014,0
"756",2003.81643835616,0
"757",2003.81917808219,0
"758",2003.82191780822,0
"759",2003.82465753425,0
"760",2003.82739726027,0
"761",2003.8301369863,0
"762",2003.83287671233,0
"763",2003.83561643836,0
"764",2003.83835616438,0
"765",2003.84109589041,0
"766",2003.84383561644,0
"767",2003.84657534247,0
"768",2003.84931506849,0
"769",2003.85205479452,0
"770",2003.85479452055,0
"771",2003.85753424658,0
"772",2003.8602739726,0
"773",2003.86301369863,0
"774",2003.86575342466,0
"775",2003.86849315069,0
"776",2003.87123287671,0
"777",2003.87397260274,0
"778",2003.87671232877,0
"779",2003.87945205479,0
"780",2003.88219178082,0
"781",2003.88493150685,0
"782",2003.88767123288,0
"783",2003.8904109589,0
"784",2003.89315068493,0
"785",2003.89589041096,0
"786",2003.89863013699,0
"787",2003.90136986301,0
"788",2003.90410958904,0
"789",2003.90684931507,0
"790",2003.9095890411,0
"791",2003.91232876712,0
"792",2003.91506849315,0
"793",2003.91780821918,0
"794",2003.92054794521,0
"795",2003.92328767123,0
"796",2003.92602739726,0
"797",2003.92876712329,0
"798",2003.93150684932,0
"799",2003.93424657534,0
"800",2003.93698630137,0
"801",2003.9397260274,0
"802",2003.94246575342,0
"803",2003.94520547945,0
"804",2003.94794520548,0
"805",2003.95068493151,0
"806",2003.95342465753,0
"807",2003.95616438356,0
"808",2003.95890410959,0
"809",2003.96164383562,0
"810",2003.96438356164,0
"811",2003.96712328767,0
"812",2003.9698630137,0
"813",2003.97260273973,0
"814",2003.97534246575,0
"815",2003.97808219178,0
"816",2003.98082191781,0
"817",2003.98356164384,0
"818",2003.98630136986,0
"819",2003.98904109589,0
"820",2003.99178082192,0
"821",2003.99452054795,0
"822",2003.99726027397,0
"823",2004,0
"824",2004.00273224044,0
"825",2004.00546448087,0
"826",2004.00819672131,0
"827",2004.01092896175,0
"828",2004.01366120219,0
"829",2004.01639344262,0
"830",2004.01912568306,0
"831",2004.0218579235,0
"832",2004.02459016393,0
"833",2004.02732240437,0
"834",2004.03005464481,0
"835",2004.03278688525,0
"836",2004.03551912568,0
"837",2004.03825136612,0
"838",2004.04098360656,0
"839",2004.04371584699,0
"840",2004.04644808743,0
"841",2004.04918032787,0
"842",2004.05191256831,0
"843",2004.05464480874,0
"844",2004.05737704918,0
"845",2004.06010928962,0
"846",2004.06284153005,0
"847",2004.06557377049,0
"848",2004.06830601093,0
"849",2004.07103825137,0
"850",2004.0737704918,0
"851",2004.07650273224,0
"852",2004.07923497268,0
"853",2004.08196721311,0
"854",2004.08469945355,0
"855",2004.08743169399,0
"856",2004.09016393443,0
"857",2004.09289617486,0
"858",2004.0956284153,0
"859",2004.09836065574,0
"860",2004.10109289617,0
"861",2004.10382513661,0
"862",2004.10655737705,0
"863",2004.10928961749,0
"864",2004.11202185792,0
"865",2004.11475409836,0
"866",2004.1174863388,0
"867",2004.12021857923,0
"868",2004.12295081967,0
"869",2004.12568306011,0
"870",2004.12841530055,0
"871",2004.13114754098,0
"872",2004.13387978142,0
"873",2004.13661202186,0
"874",2004.1393442623,0
"875",2004.14207650273,0
"876",2004.14480874317,0
"877",2004.14754098361,0
"878",2004.15027322404,0
"879",2004.15300546448,0
"880",2004.15573770492,0
"881",2004.15846994536,0
"882",2004.16120218579,0
"883",2004.16393442623,0
"884",2004.16666666667,0
"885",2004.1693989071,0
"886",2004.17213114754,0
"887",2004.17486338798,0
"888",2004.17759562842,0
"889",2004.18032786885,0
"890",2004.18306010929,0
"891",2004.18579234973,0
"892",2004.18852459016,0
"893",2004.1912568306,0
"894",2004.19398907104,0
"895",2004.19672131148,0
"896",2004.19945355191,0
"897",2004.20218579235,0
"898",2004.20491803279,0
"899",2004.20765027322,0
"900",2004.21038251366,0
"901",2004.2131147541,0
"902",2004.21584699454,0
"903",2004.21857923497,0
"904",2004.22131147541,0
"905",2004.22404371585,0
"906",2004.22677595628,0
"907",2004.22950819672,0
"908",2004.23224043716,0
"909",2004.2349726776,0
"910",2004.23770491803,0
"911",2004.24043715847,0
"912",2004.24316939891,0
"913",2004.24590163934,0
"914",2004.24863387978,0
"915",2004.25136612022,0
"916",2004.25409836066,0
"917",2004.25683060109,0
"918",2004.25956284153,0
"919",2004.26229508197,0
"920",2004.2650273224,0
"921",2004.26775956284,0
"922",2004.27049180328,0
"923",2004.27322404372,0
"924",2004.27595628415,0
"925",2004.27868852459,0
"926",2004.28142076503,0
"927",2004.28415300546,0
"928",2004.2868852459,0
"929",2004.28961748634,0
"930",2004.29234972678,0
"931",2004.29508196721,0
"932",2004.29781420765,0
"933",2004.30054644809,0
"934",2004.30327868852,0
"935",2004.30601092896,0
"936",2004.3087431694,0
"937",2004.31147540984,0
"938",2004.31420765027,0
"939",2004.31693989071,0
"940",2004.31967213115,0
"941",2004.32240437158,0
"942",2004.32513661202,0
"943",2004.32786885246,0
"944",2004.3306010929,0
"945",2004.33333333333,0
"946",2004.33606557377,0
"947",2004.33879781421,0
"948",2004.34153005464,0
"949",2004.34426229508,0
"950",2004.34699453552,0
"951",2004.34972677596,0
"952",2004.35245901639,0
"953",2004.35519125683,0
"954",2004.35792349727,0
"955",2004.3606557377,0
"956",2004.36338797814,0
"957",2004.36612021858,0
"958",2004.36885245902,0
"959",2004.37158469945,0
"960",2004.37431693989,0
"961",2004.37704918033,0
"962",2004.37978142077,0
"963",2004.3825136612,0
"964",2004.38524590164,0
"965",2004.38797814208,0
"966",2004.39071038251,0
"967",2004.39344262295,0
"968",2004.39617486339,0
"969",2004.39890710383,0
"970",2004.40163934426,0
"971",2004.4043715847,0
"972",2004.40710382514,0
"973",2004.40983606557,0
"974",2004.41256830601,0
"975",2004.41530054645,0
"976",2004.41803278689,0
"977",2004.42076502732,0
"978",2004.42349726776,0
"979",2004.4262295082,0
"980",2004.42896174863,0
"981",2004.43169398907,0
"982",2004.43442622951,0
"983",2004.43715846995,0
